36,0.1040,0.0885,0.0135,0.1333,0.1422,0.1308,0.1172,0.0116,0.1524,0.2270
36.25,0.1021,0.0870,0.0131,0.1316,0.1398,0.1292,0.1162,0.0112,0.1512,0.2244
36.5,0.1001,0.0856,0.0127,0.1300,0.1374,0.1277,0.1151,0.0107,0.1500,0.2217
36.75,0.0982,0.0841,0.0124,0.1284,0.1350,0.1262,0.1140,0.0103,0.1487,0.2190
37,0.0962,0.0826,0.0120,0.1267,0.1326,0.1246,0.1129,0.0099,0.1474,0.2163
37.25,0.0943,0.0811,0.0116,0.1250,0.1301,0.1230,0.1117,0.0095,0.1461,0.2134
37.5,0.0923,0.0796,0.0112,0.1233,0.1277,0.1214,0.1106,0.0090,0.1448,0.2106
37.75,0.0903,0.0781,0.0108,0.1216,0.1252,0.1197,0.1094,0.0086,0.1434,0.2076
38,0.0883,0.0765,0.0105,0.1198,0.1226,0.1180,0.1082,0.0082,0.1420,0.2047
38.25,0.0863,0.0750,0.0101,0.1180,0.1201,0.1164,0.1069,0.0077,0.1405,0.2016
38.5,0.0843,0.0735,0.0097,0.1162,0.1175,0.1147,0.1057,0.0073,0.1390,0.1986
38.75,0.0823,0.0719,0.0093,0.1144,0.1149,0.1129,0.1044,0.0069,0.1375,0.1955
39,0.0803,0.0704,0.0089,0.1125,0.1122,0.1112,0.1031,0.0065,0.1360,0.1923
39.25,0.0782,0.0688,0.0085,0.1106,0.1095,0.1094,0.1018,0.0061,0.1344,0.1891
39.5,0.0762,0.0673,0.0082,0.1086,0.1068,0.1076,0.1004,0.0057,0.1328,0.1859
39.75,0.0742,0.0657,0.0078,0.1067,0.1040,0.1058,0.0991,0.0053,0.1312,0.1826
40,0.0721,0.0641,0.0074,0.1047,0.1012,0.1040,0.0977,0.0049,0.1295,0.1793
40.25,0.0700,0.0625,0.0070,0.1026,0.0984,0.1022,0.0963,0.0045,0.1278,0.1759
40.5,0.0680,0.0609,0.0066,0.1006,0.0955,0.1003,0.0949,0.0041,0.1261,0.1725
40.75,0.0659,0.0593,0.0063,0.0985,0.0926,0.0985,0.0934,0.0037,0.1243,0.1691
41,0.0638,0.0577,0.0059,0.0964,0.0896,0.0966,0.0919,0.0034,0.1225,0.1656
41.25,0.0617,0.0560,0.0055,0.0942,0.0866,0.0947,0.0904,0.0030,0.1206,0.1621
41.5,0.0596,0.0544,0.0052,0.0920,0.0836,0.0928,0.0889,0.0026,0.1188,0.1585
41.75,0.0575,0.0527,0.0048,0.0898,0.0806,0.0909,0.0874,0.0023,0.1169,0.1548
42,0.0554,0.0510,0.0045,0.0875,0.0775,0.0889,0.0858,0.0020,0.1149,0.1511
42.25,0.0533,0.0494,0.0041,0.0852,0.0743,0.0870,0.0842,0.0016,0.1130,0.1474
42.5,0.0511,0.0477,0.0038,0.0829,0.0712,0.0850,0.0826,0.0013,0.1110,0.1436
42.75,0.0490,0.0460,0.0034,0.0806,0.0680,0.0830,0.0810,0.0010,0.1089,0.1397
43,0.0469,0.0443,0.0031,0.0782,0.0647,0.0811,0.0794,0.0007,0.1068,0.1358
43.25,0.0448,0.0426,0.0027,0.0757,0.0615,0.0791,0.0777,0.0004,0.1047,0.1319
43.5,0.0427,0.0408,0.0024,0.0733,0.0582,0.0771,0.0761,0.0001,0.1026,0.1278
43.75,0.0406,0.0391,0.0021,0.0708,0.0548,0.0751,0.0744,-0.0002,0.1004,0.1238
44,0.0386,0.0374,0.0018,0.0683,0.0514,0.0731,0.0727,-0.0005,0.0982,0.1197
44.25,0.0365,0.0356,0.0015,0.0658,0.0480,0.0710,0.0710,-0.0007,0.0960,0.1155
44.5,0.0344,0.0339,0.0011,0.0632,0.0445,0.0690,0.0693,-0.0010,0.0937,0.1112
44.75,0.0323,0.0322,0.0008,0.0606,0.0410,0.0670,0.0675,-0.0012,0.0914,0.1069
45,0.0302,0.0304,0.0005,0.0579,0.0375,0.0650,0.0658,-0.0015,0.0891,0.1026
45.25,0.0281,0.0286,0.0002,0.0553,0.0339,0.0630,0.0640,-0.0017,0.0867,0.0982
45.5,0.0261,0.0269,0.0000,0.0526,0.0302,0.0609,0.0622,-0.0020,0.0843,0.0937
45.75,0.0240,0.0251,-0.0003,0.0498,0.0265,0.0589,0.0605,-0.0022,0.0819,0.0892
46,0.0219,0.0233,-0.0006,0.0470,0.0228,0.0568,0.0587,-0.0024,0.0794,0.0846
46.25,0.0198,0.0215,-0.0009,0.0442,0.0190,0.0548,0.0569,-0.0026,0.0769,0.0800
46.5,0.0177,0.0197,-0.0012,0.0414,0.0151,0.0527,0.0551,-0.0028,0.0743,0.0753
46.75,0.0156,0.0178,-0.0015,0.0386,0.0112,0.0507,0.0532,-0.0030,0.0718,0.0705
